Alimento;Protein;Carbohidrates;Fat
PRODUCTOS LÁCTEOS Y SIMILARES;3.37;6;3
CEREALES GRANOS SECOS, CEREALES DE DESAYUNO Y OTRAS HARINAS;8;60;7
GALLETAS, PANES, TORTILLAS Y SIMILARES;7;69;19
FRUTAS Y JUGOS DE FRUTAS;0.3;14;0.2
LEGUMINOSAS, GRANOS SECOS Y DERIVADOS;19;61;6
VERDURAS, HORTALIZAS Y OTROS VEGETALES;0.8;9;4
PASTAS Y OTRAS HARINAS;6;31;2
CARNE DE CERDO;28;0;9
CARNE DE VACUNO;22;0;4
CARNE DE ANIMALES DE CAZA;25;0;5
MARISCOS Y PESCADOS;23;0;11
HUEVOS;12;0.7;10
ADEREZOS, SALSAS Y SOPAS;2;5.13;3
EMBUTIDOS Y SIMILARES;20;2;12
CARNE DE AVES;25;0;8
