Parte;Alimentos
desayuno;PRODUCTOS LÁCTEOS Y SIMILARES
desayuno;CEREALES GRANOS SECOS, CEREALES DE DESAYUNO Y OTRAS HARINAS/GALLETAS, PANES, TORTILLAS Y SIMILARES
desayuno;FRUTAS Y JUGOS DE FRUTAS
almuerzo;LEGUMINOSAS, GRANOS SECOS Y DERIVADOS/VERDURAS, HORTALIZAS Y OTROS VEGETALES
almuerzo;GALLETAS, PANES, TORTILLAS Y SIMILARES
almuerzo;CARNE DE AVES/CARNE DE VACUNO/MARISCOS Y PESCADOS
almuerzo;FRUTAS Y JUGOS DE FRUTAS
comida;VERDURAS, HORTALIZAS Y OTROS VEGETALES/ADEREZOS, SALSAS Y SOPAS
comida;CARNE DE AVES/HUEVOS/MARISCOS Y PESCADOS
comida;GALLETAS, PANES, TORTILLAS Y SIMILARES
comida;FRUTAS Y JUGOS DE FRUTAS
